Episode,Date,Guests (Himself/Herself - Role),References
1x01,2005-06-05,x9y0q5f5:Dara O'Briain (Himself - Host);rq34yrxp:Linda Smith (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);27y8byz9:Rory Bremner (Himself - Regular);c82x62c0:John Oliver (Himself);87ulicd3:Jeremy Hardy (Himself),
1x02,2005-06-12,x9y0q5f5:Dara O'Briain (Himself - Host);b93y6vnu:Jo Brand (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);9e3q4p9k:Mark Steel (Himself);27y8byz9:Rory Bremner (Himself - Regular),
1x03,2005-06-19,x9y0q5f5:Dara O'Briain (Himself - Host);b93y6vnu:Jo Brand (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);27y8byz9:Rory Bremner (Himself - Regular);c82x62c0:John Oliver (Himself);1hol02h9:Al Murray (Himself),
1x04,2005-06-26,x9y0q5f5:Dara O'Briain (Himself - Host);m2nw4eae:David Mitchell (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);27y8byz9:Rory Bremner (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);rq34yrxp:Linda Smith (Herself),
1x05,2005-07-03,x9y0q5f5:Dara O'Briain (Himself - Host);c82x62c0:John Oliver (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);m2nw4eae:David Mitchell (Himself);b93y6vnu:Jo Brand (Herself);27y8byz9:Rory Bremner (Himself - Regular),
2x01,2006-01-20,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);b93y6vnu:Jo Brand (Herself);27y8byz9:Rory Bremner (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);c82x62c0:John Oliver (Himself),
2x02,2006-01-27,x9y0q5f5:Dara O'Briain (Himself - Host);76r85g0g:Gina Yashere (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);c82x62c0:John Oliver (Himself);1hol02h9:Al Murray (Himself);27y8byz9:Rory Bremner (Himself - Regular),
2x03,2006-02-03,x9y0q5f5:Dara O'Briain (Himself - Host);m2nw4eae:David Mitchell (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);yy0vihbr:Sue Perkins (Herself);27y8byz9:Rory Bremner (Himself - Regular),
2x04,2006-02-10,x9y0q5f5:Dara O'Briain (Himself - Host);nch01m5e:Sandi Toksvig (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);m2nw4eae:David Mitchell (Himself);c82x62c0:John Oliver (Himself),
2x05,2006-02-17,x9y0q5f5:Dara O'Briain (Himself - Host);76r85g0g:Gina Yashere (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);27y8byz9:Rory Bremner (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);vj2aqy1m:Greg Proops (Himself),
