Episode,Date,Guests (Himself/Herself - Role),References
1x01,2021-09-29,m2nw4eae:David Mitchell (Himself - Host);kqzz5hj0:Toussaint Douglas (Himself);4omd31xd:Kerry Godliman (Herself);m5gihwar:Ed Gamble (Himself);xoptut0i:Lou Sanders (Herself);8tklkv5y:Jessica Knappett (Herself);vnpyzg64:Jamali Maddix (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/1/1/
1x02,2021-10-06,m2nw4eae:David Mitchell (Himself - Host);kqzz5hj0:Toussaint Douglas (Himself);4omd31xd:Kerry Godliman (Herself);m5gihwar:Ed Gamble (Himself);xoptut0i:Lou Sanders (Herself);8tklkv5y:Jessica Knappett (Herself);vnpyzg64:Jamali Maddix (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/1/2/
1x03,2021-10-13,m2nw4eae:David Mitchell (Himself - Host);kqzz5hj0:Toussaint Douglas (Himself);4omd31xd:Kerry Godliman (Herself);m5gihwar:Ed Gamble (Himself);xoptut0i:Lou Sanders (Herself);8tklkv5y:Jessica Knappett (Herself);vnpyzg64:Jamali Maddix (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/1/3/
1x04,2021-10-20,m2nw4eae:David Mitchell (Himself - Host);kqzz5hj0:Toussaint Douglas (Himself);4omd31xd:Kerry Godliman (Herself);m5gihwar:Ed Gamble (Himself);xoptut0i:Lou Sanders (Herself);8tklkv5y:Jessica Knappett (Herself);vnpyzg64:Jamali Maddix (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/1/4/
1x05,2021-10-27,m2nw4eae:David Mitchell (Himself - Host);kqzz5hj0:Toussaint Douglas (Himself);4omd31xd:Kerry Godliman (Herself);m5gihwar:Ed Gamble (Himself);xoptut0i:Lou Sanders (Herself);8tklkv5y:Jessica Knappett (Herself);vnpyzg64:Jamali Maddix (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/1/5/
1x06,2021-11-03,m2nw4eae:David Mitchell (Himself - Host);kqzz5hj0:Toussaint Douglas (Himself);4omd31xd:Kerry Godliman (Herself);m5gihwar:Ed Gamble (Himself);xoptut0i:Lou Sanders (Herself);8tklkv5y:Jessica Knappett (Herself);vnpyzg64:Jamali Maddix (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/1/6/
2x01,2022-11-16,m2nw4eae:David Mitchell (Himself - Host);jma7jazd:Maisie Adam (Herself);zg48w072:Fatiha El-Ghorri (Herself);zq3h8ifh:Darren Harriott (Himself);ucuj533y:Jessica Hynes (Herself);qa5s3f3t:Phil Wang (Himself);eyjfogrf:Joe Wilkinson (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/2/1/
2x02,2022-11-23,m2nw4eae:David Mitchell (Himself - Host);jma7jazd:Maisie Adam (Herself);zg48w072:Fatiha El-Ghorri (Herself);zq3h8ifh:Darren Harriott (Himself);ucuj533y:Jessica Hynes (Herself);qa5s3f3t:Phil Wang (Himself);eyjfogrf:Joe Wilkinson (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/2/2/
2x03,2022-11-30,m2nw4eae:David Mitchell (Himself - Host);jma7jazd:Maisie Adam (Herself);zg48w072:Fatiha El-Ghorri (Herself);zq3h8ifh:Darren Harriott (Himself);ucuj533y:Jessica Hynes (Herself);qa5s3f3t:Phil Wang (Himself);eyjfogrf:Joe Wilkinson (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/2/3/
2x04,2022-12-07,m2nw4eae:David Mitchell (Himself - Host);jma7jazd:Maisie Adam (Herself);zg48w072:Fatiha El-Ghorri (Herself);zq3h8ifh:Darren Harriott (Himself);ucuj533y:Jessica Hynes (Herself);qa5s3f3t:Phil Wang (Himself);eyjfogrf:Joe Wilkinson (Himself),https://www.comedy.co.uk/tv/outsiders-2021/episodes/2/4/
