Episode,Date,Guests (Himself/Herself - Role),References
1x01,2021-10-12,fwsawolj:Richard Ayoade (Himself - Host);k4ynw4wa:Bob Mortimer (Himself);0jlb2uxd:Thanyia Moore (Herself);4omd31xd:Kerry Godliman (Herself);4fp2qrra:Rob Carter (Himself),https://www.comedy.co.uk/tv/question-team/episodes/1/1/
1x02,2021-10-19,fwsawolj:Richard Ayoade (Himself - Host);c26v5h9k:Katherine Ryan (Herself);59gmixwl:Desiree Burch (Herself);9t9u6aoh:Ivo Graham (Himself);x06ndrsl:Nick Helm (Himself),https://www.comedy.co.uk/tv/question-team/episodes/1/2/
1x03,2021-10-26,fwsawolj:Richard Ayoade (Himself - Host);ewwqjcle:Nish Kumar (Himself);5l0pn3tm:Rosie Jones (Herself);jma7jazd:Maisie Adam (Herself);ar99zuf8:Mat Ewins (Himself),https://www.comedy.co.uk/tv/question-team/episodes/1/3/
1x04,2021-11-02,fwsawolj:Richard Ayoade (Himself - Host);mkuo9ika:James Acaster (Himself);y2e6i9ih:Kemah Bob (Herself);n5ouehky:Olga Koch (Herself);qni9q3uh:Rosie Dempsey (Herself);gkwc83fd:Nicola Dempsey (Herself),https://www.comedy.co.uk/tv/question-team/episodes/1/4/
1x05,2021-11-09,fwsawolj:Richard Ayoade (Himself - Host);9b46vz01:Johnny Vegas (Himself);ikeaww1y:Rachel Parris (Herself);4o00yn0w:Sophie Duker (Herself);0n63dpt8:Lost Voice Guy (Himself),https://www.comedy.co.uk/tv/question-team/episodes/1/5/
1x06,2021-11-16,fwsawolj:Richard Ayoade (Himself - Host);8osc35ur:Alex Brooker (Himself);vg4mni0b:Sarah Kendall (Herself);wuf3ef9r:Ria Lina (Herself);qzdunwq0:David O'Doherty (Himself),https://www.comedy.co.uk/tv/question-team/episodes/1/6/
1x07,2021-11-23,fwsawolj:Richard Ayoade (Himself - Host);xoptut0i:Lou Sanders (Herself);kqzz5hj0:Toussaint Douglas (Himself);z5h8zk70:Kiri Pritchard-Mclean (Herself);t78vjvqd:Amy Gledhill (Herself);gf7pctcu:Christopher Cantrill (Himself),https://www.comedy.co.uk/tv/question-team/episodes/1/7/
1x08,2021-11-30,fwsawolj:Richard Ayoade (Himself - Host);lyr97zzu:Sara Pascoe (Herself);zq3h8ifh:Darren Harriott (Himself);8tklkv5y:Jessica Knappett (Herself);bik5fnyr:Isy Suttie (Herself),https://www.comedy.co.uk/tv/question-team/episodes/1/8/
2x01,2022-09-12,fwsawolj:Richard Ayoade (Himself - Host);b93y6vnu:Jo Brand (Herself);0jlb2uxd:Thanyia Moore (Herself);gidlllww:Josh Pugh (Himself);l2c0axys:Bill Bailey (Himself),https://www.comedy.co.uk/tv/question-team/episodes/2/1/
2x02,2022-09-19,fwsawolj:Richard Ayoade (Himself - Host);cgg5lqmj:Jonathan Ross (Himself);xlfikdcz:Holly Walsh (Herself);59gmixwl:Desiree Burch (Herself);l2c41fr1:Rachel Riley (Herself),https://www.comedy.co.uk/tv/question-team/episodes/2/2/
2x03,2022-09-26,fwsawolj:Richard Ayoade (Himself - Host);ewwqjcle:Nish Kumar (Himself);3r3djszr:Helen Bauer (Herself);cd2901cw:Katherine Parkinson (Herself);x3ugitsm:Marc Wootton (Himself),https://www.comedy.co.uk/tv/question-team/episodes/2/3/
2x04,2022-10-03,fwsawolj:Richard Ayoade (Himself - Host);xccc59r3:Joel Dommett (Himself);fdv2ekcb:Harriet Kemsley (Herself);vj10tfrr:Janine Harouni (Herself);0qb7ja28:Bobby Mair (Himself);eyjfogrf:Joe Wilkinson (Himself),https://www.comedy.co.uk/tv/question-team/episodes/2/4/
2x05,2022-10-10,fwsawolj:Richard Ayoade (Himself - Host);mkuo9ika:James Acaster (Himself);nkqn3qjw:Jen Brister (Herself);l49ttda8:Lara Ricote (Herself);5l0pn3tm:Rosie Jones (Herself),https://www.comedy.co.uk/tv/question-team/episodes/2/5/
2x06,2022-10-17,fwsawolj:Richard Ayoade (Himself - Host);1fchiwmk:Stephen Mangan (Himself);xzm9ecj8:Dana Alexander (Herself);c26v5h9k:Katherine Ryan (Herself);t0pqg480:Adam Kay (Himself),https://www.comedy.co.uk/tv/question-team/episodes/2/6/
2x07,2022-10-24,fwsawolj:Richard Ayoade (Himself - Host);yy0vihbr:Sue Perkins (Herself);uk8mmmbl:Reginald D. Hunter (Himself);jzw2u6u6:Ellie Taylor (Herself);x06ndrsl:Nick Helm (Himself),https://www.comedy.co.uk/tv/question-team/episodes/2/7/
2x08,2022-10-31,fwsawolj:Richard Ayoade (Himself - Host);sy2sdgn0:Dane Baptiste (Himself);27g5s77i:Angela Barnes (Herself);xoptut0i:Lou Sanders (Herself);5yw66sca:Tim Vine (Himself),https://www.comedy.co.uk/tv/question-team/episodes/2/8/
