Episode,Date,Guests (Himself/Herself - Role),References
19790925,1979-09-25,wcm4tx1l:Robin Day (Himself - Host);6iq3yg70:Michael Foot (Himself);k48sgidf:Edna O'Brien (Herself);clkkbknj:Teddy Taylor (Himself);pekpjizq:Derek Worlock (Himself);,
19791002,1979-10-02,0v7pan2n:Peter Shore (Himself);qf3fwq5j:Eric Morley (Himself);uuksxavw:Jo Grimond (Himself);pbrf6olr:Tess Gill (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19791009,1979-10-09,wcm4tx1l:Robin Day (Himself - Host);r1z6pk8k:Sue Arnold (Herself);e7gmb9hv:Michael Heseltine (Himself);8j89zj7q:William Rodgers (Himself);eafi5tqq:Arthur Scargill (Himself);,
19791016,1979-10-16,mr6mvp4r:Enoch Powell (Himself);0sgr08vw:John Mortimer (Himself);ewnb74k6:Judith Hart (Herself);1b63mdiv:James Anderton (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19791023,1979-10-23,wcm4tx1l:Robin Day (Himself - Host);9g1bkazz:Anthony Frodsham (Himself);1pc6djt5:Clive Jenkins (Himself);sgbvuwre:Margo MacDonald (Herself);sekbbf97:Nicholas Scott (Himself);,
19791030,1979-10-30,ba8zvn6y:Ray Whitney (Himself);zh4q4zb0:Emily Macfarquhar (Herself);ncwk8iwn:Elspeth Howe (Herself);hhduglg9:Roy Hattersley (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19791106,1979-11-06,6zok0w1x:Sid Weighell (Himself);fj1cpur6:Wendy Mantle (Herself);x45pzlc3:Paul Johnson (Himself);schff03b:Julian Amery (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19791113,1979-11-13,wcm4tx1l:Robin Day (Himself - Host);dzs8dz72:Clement Freud (Himself);m20sraag:Ann Leslie (Herself);dn4g5ok5:David Owen (Himself);ime7bcaf:Peter Thorneycroft (Himself);,
19791204,1979-12-04,n2qy7haj:Eric Varley (Himself);21uzdzsd:Gaia Servadio (Himself);rmr5uctt:Conor Cruise O'Brien (Himself);4hexez3c:Eldon Griffiths (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19791211,1979-12-11,wcm4tx1l:Robin Day (Himself - Host);m3x082so:George Brown (Himself);4atmbscb:Clare Francis (Herself);yq75h6cq:Joan Lester (Herself);9t9qvxxj:Christopher Mayhew (Himself);,
19791218,1979-12-18,h7v20j9h:John Rae (Himself);7ilh9zz1:Chris Patten (Himself);dzo497jr:Bel Mooney (Herself);pfdwt6fw:Neil Kinnock (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19800115,1980-01-15,wcm4tx1l:Robin Day (Himself - Host);sjvcpxhb:Tony Benn (Himself);bk2xi19y:Germaine Greer (Herself);t0xrmu9a:John Hackett (Himself);lnfpseu0:Norman St. John Stevas (Himself);,
19800122,1980-01-22,1izbnl5w:Barbara Wootton (Herself);a8abwre3:William Waldegrave (Himself);6meyfm3e:William Rees-Mogg (Himself);u97y7dnl:Tessa Jowell (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19800129,1980-01-29,t1z4mq4g:Sara Morrison (Herself);eln79sn0:Denis Healey (Himself);6jzole13:Kenneth Baker (Himself);qn5mq54o:Noel Annan (Himself);wcm4tx1l:Robin Day (Himself - Host);,
