Episode,Date,Guests (Himself/Herself - Role),References
1x01,2006-07-11,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);twwcraft:Richard Bacon (Himself);60flfsj8:Gail Porter (Herself);m2nw4eae:David Mitchell (Himself);pgoexum5:Lucy Porter (Herself);cgg5lqmj:Jonathan Ross (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
1x02,2006-07-18,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);lsfc2obu:Steve Furst (Himself);q1xkdxsk:John Inverdale (Himself);5b5you5n:Alistair McGowan (Himself);prm0j0o4:Dominik Diamond (Himself);nn71jpyb:David Walliams (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
1x03,2006-07-25,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);z6v8rr5y:Josie D'Arby (Herself);whm3kdox:Robert Webb (Himself);lyhqj9gj:Russell Brand (Himself);funl9xzs:Marcus Brigstocke (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
1x04,2006-08-01,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);wi5lomrv:Boyd Hilton (Himself);1q20caz8:Ronni Ancona (Herself);b93y6vnu:Jo Brand (Herself);o2iakgfe:Paul Foot (Himself);zv4wuwgm:Kirsten O'Brien (Herself);cs5kdg52:Dave Chapman (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
1x05,2006-08-08,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);zrst94ti:Alexei Sayle (Himself);l2nlnoss:Dave Berry (Himself);q6xkq8v3:Omid Djalili (Himself);z2hsca0r:Bob Mills (Himself);zyy052u0:Elton John (Himself);cs5kdg52:Dave Chapman (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
1x06,2006-08-15,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);ejvlgb2l:Trisha Goddard (Herself);qkfe0j6n:Rob Deering (Himself);e7o1gtcv:Gyles Brandreth (Himself);yy0vihbr:Sue Perkins (Herself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
2x01,2007-04-30,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);tz9hsonw:Rhys Thomas (Himself);6tpml937:Abi Titmuss (Herself);35eciypt:Richard Herring (Himself);tiewbgqw:Jimmy Carr (Himself);29crsgwm:Eamonn Holmes (Himself);6ria91hx:Ruth Langsford (Herself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
2x02,2007-05-07,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);o4m5ly62:Dave Wilson (Himself);vrx437un:Dr Phil Hammond (Himself);0pieout7:Jennie Bond (Herself);6cqal9ek:Chris Corcoran (Himself);acajgupg:Claudia Winkleman (Herself);5x3slix2:Anton du Beke (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
2x03,2007-05-14,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);dguo3ras:Richard Park (Himself);lvwfm1hm:Olivia Lee (Herself);6jht67f1:Griff Rhys Jones (Himself);8rxy9l50:Paul Ross (Himself);cb25glnj:Rhys Ifans (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
2x04,2007-05-21,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);zid1la51:James Corden (Himself);ay8fjft4:Hal Cruttenden (Himself);k47hcr0j:Robin Ince (Himself);vag73ro9:Dave Johns (Himself);tiewbgqw:Jimmy Carr (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
2x05,2007-05-28,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);m9jas0rx:Frankie Boyle (Himself);ln3tyiai:Kate Lawler (Herself);tq4rhgl6:Russell Howard (Himself);27y8byz9:Rory Bremner (Himself);gw6opwme:Tim Key (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
2x06,2007-06-04,9hgf4amz:Rob Brydon (Himself - Host);2ufl1i4u:Dave Gorman (Himself - Team Captain);l3xqjxtv:Jane Moore (Herself - Team Captain);h663jn38:Rufus Hound (Himself);zv4wuwgm:Kirsten O'Brien (Herself);oof2ol6p:Mathew Horne (Himself);kh3m7w91:Jeremy Edwards (Himself),https://en.wikipedia.org/wiki/Rob_Brydon%27s_Annually_Retentive
