Episode,Date,Guests (Himself/Herself - Role),References
0x1,1993-12-26,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);8b83ajav:Danny Baker (Himself - Team Captain);92eoqkw9:Martin Clunes (Himself);qa3ey1m6:Noddy Holder (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);3fezzv8h:Wendy Richard (Herself);cgg5lqmj:Jonathan Ross (Himself);,
1x1,1995-09-22,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);t0ohxgrw:Caryn Franklin (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);7mbp1acw:Martine McCutcheon (Herself);0w13w4m6:Rowland Rivron (Himself);28i8y481:Peter Stringfellow (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
1x2,1995-09-29,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);92eoqkw9:Martin Clunes (Himself);0406hp67:Jarvis Cocker (Himself);doat9285:Noah Huntley (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);6vpb1owi:Carol Vorderman (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
1x3,1995-10-06,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);iqk1jtj2:John Craven (Himself);kmvggavr:Chris Evans (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);hjjkecc0:John Peel (Himself);cgg5lqmj:Jonathan Ross (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
1x4,1995-10-13,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);ptic5dgo:Leslie Ash (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);ybft2rx2:Eddie Large (Himself);cbrp8shy:Syd Little (Himself);l57v7nvn:Bill Oddie (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
1x5,1995-10-20,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);yho6uq1m:Gareth Hale (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);ufcan87c:Kathy Lloyd (Herself);ry4w7zm9:Norman Pace (Himself);6ecnttaq:Patsy Palmer (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
1x6,1995-10-27,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);60n9i2zi:Caroline Aherne (Herself);pyqgtpx8:David Baddiel (Himself);5l9cvlll:Annabel Giles (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);ma8zfq8z:Shane Richie (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
1x7,1995-11-03,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);pyqgtpx8:David Baddiel (Himself);5l9cvlll:Annabel Giles (Herself);c918shr7:Muriel Gray (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);o8rh7d32:Paul Shane (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
1x8,1995-11-10,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);pioyrpar:Mark Lamarr (Himself - Team Captain);qa3ey1m6:Noddy Holder (Himself);gju6dbtb:Chris Rea (Himself);hd1lpqkk:Richie Wermerling (Himself);htbfbxb4:Samantha Womack (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
1x9,1995-12-27,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);s44xcryg:Anna Friel (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);ujq3d1uy:Clive Mantle (Himself);17ti1bqt:Neil Morrissey (Himself);cxqhr4s0:Alvin Stardust (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x1,1996-09-27,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);qyglandk:Bobby Ball (Himself);z0c30iub:Samantha Beckinsale (Herself);zwdnmhyq:Tommy Cannon (Himself);7tgfhtp7:Richard E. Grant (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x2,1996-10-04,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);9mcayvdz:Alice Beer (Herself);4ehe8x8e:Gordon Burns (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);z9jpoczk:Dermot Morgan (Himself);rhg0p57u:Robbie Williams (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x3,1996-10-11,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);b93y6vnu:Jo Brand (Herself);vc33r4p1:Russell Grant (Himself - Guest);pioyrpar:Mark Lamarr (Himself - Team Captain);dbbvuhjs:Gary Rhodes (Himself - Guest);w0rwkp3a:Carol Smillie (Herself - Guest);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x4,1996-10-18,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);gqp6wob9:Eric Bristow (Himself);vvpc2276:Sara Cox (Herself);fc3xrxvy:Stephen Fry (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);0ckjxi9a:Michael Van Wijk (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x5,1996-10-25,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);pioyrpar:Mark Lamarr (Himself - Team Captain);vwhaetmc:Philippa Forrester (Herself);dlnek6ol:Sarah Greene (Herself);jbyic0ia:Joanne Guest (Herself);cgbx9m7a:Lynne Perrie (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x6,1996-11-01,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);oyn33zh7:Gabrielle (Herself);2f8es6v0:Darcus Howe (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);v7xnf0b2:Rose-Marie (Herself);lle1yabg:Richard Whiteley (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x7,1996-11-08,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);tn2a91cb:Tim Brooke-Taylor (Himself);jwtu1q03:Belinda Carlisle (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);qtnsqusn:Reg Presley (Himself);6pxdtvkj:Paul Kaye (Himself - Dennis Pennis);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x8,1996-11-15,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);nwlgj2xm:Tamara Beckwith (Herself);dxjcylk2:Gareth Jones (Himself - Guest);pioyrpar:Mark Lamarr (Himself - Team Captain);nyw7h402:Sonya Madan (Herself - Guest);8iku6khj:Richard Wilson (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x9,1996-11-22,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);pioyrpar:Mark Lamarr (Himself - Team Captain);ee1cm8xe:Ardal O'Hanlon (Himself);1voxipjt:Anneka Rice (Herself);q8b2vncq:Dave Lee Travis (Himself);6vpb1owi:Carol Vorderman (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x10,1996-11-29,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);pioyrpar:Mark Lamarr (Himself - Team Captain);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);wuzxhhqe:Vanessa Feltz (Herself);uj23k1td:Louise Wener (Herself);pudtmrsz:Fred Talbot (Himself);bqtlho0f:Mark Williams (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x11,1996-12-06,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);g3oji5f7:Donna Air (Herself);n3ouxzf3:Morwenna Banks (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);6jht67f1:Griff Rhys Jones (Himself);3ksdf9vy:Stephen Tompkinson (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x12,1996-12-13,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);x5raxm1c:Roy Walker (Himself);2f1nzrjr:Zoë Ball (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);dss1afga:Eric Hall (Himself);a9vsgp1z:Dervla Kirwan (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
2x13,1996-12-20,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);l85k748u:Frank Bough (Himself);or1mwpoj:Clare Grogan (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);6fd2akfw:John Thomson (Himself);8av2mwg1:Sarah White (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);nn71jpyb:David Walliams (Himself - Soft Alan);,
2x14,1996-12-27,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);pioyrpar:Mark Lamarr (Himself - Team Captain);wguqcrlr:Matt Lucas (Himself - George Dawes);0406hp67:Jarvis Cocker (Himself);g4wdd9oz:Ian Kelsey (Himself);8dmt5999:Emma Forbes (Herself);8rkqzrqj:Ewen Bremner (Himself);wjmqif41:Denise Van Outen (Herself);,
3x1,1997-09-26,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);38krr3di:Tania Bryer (Herself);7bsa04wv:Mariella Frostrup (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);vnztueh2:Leo Sayer (Himself);xuggcl7n:Antony Worrall Thompson (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
3x2,1997-10-03,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);jjikl4i7:Daniela Denby-Ashe (Herself);934aie7f:Rolf Harris (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);pizqb1t3:Tony Mortimer (Himself);h6wdx3nf:Janet Street-Porter (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
3x3,1997-10-10,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);gdf6brx9:Glenn Hugill (Himself);t6mx3m6n:Eddie Izzard (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);r9bda0m5:Melanie Sykes (Herself);6vpb1owi:Carol Vorderman (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
3x4,1997-10-17,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);fc3xrxvy:Stephen Fry (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);pnamsca4:Sid Owen (Himself);23ufw09i:Tara Palmer-Tomkinson (Herself);ov85ov21:Kate Robbins (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
3x5,1997-10-24,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);jcvopkkp:Robbie Coltrane (Himself);hn8eeq8z:Sue Cook (Herself);tlw7yj2p:David Hamilton (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);wjmqif41:Denise Van Outen (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
3x6,1997-10-31,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);4yiu7666:Adam Ant (Himself);zkbg1ia3:Fern Britton (Herself);94s31co6:Wayne Hemingway (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);ivbzkojs:Melinda Messenger (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
3x7,1997-11-07,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);wh5qhmew:David Emanuel (Himself);bnmot9ej:Judith Hann (Himself);nds2vxkk:Mark Homer (Himself);pioyrpar:Mark Lamarr (Himself - Team Captain);81hmznev:Lisa Stansfield (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
3x8,1997-12-22,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);paz4k9d7:Melvyn Hayes (Himself);e6wb7i8j:Lorraine Kelly (Herself);pioyrpar:Mark Lamarr (Himself - Team Captain);sjm7f9ij:Mark Owen (Himself);8cde90br:Louise Redknapp (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
4x1,2002-01-13,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);t83bgude:Simon Day (Himself);6w579r1n:Goldie (Himself);gdj6om5g:Katie Price (Herself);9b46vz01:Johnny Vegas (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
4x2,2002-01-20,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);dzns2t76:Larry Hagman (Himself);60flfsj8:Gail Porter (Herself);9b46vz01:Johnny Vegas (Himself);ul0a1tre:Paul Whitehouse (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
4x3,2002-01-27,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);s634ywly:Paul Daniels (Himself);lhv9t9jg:Keith Duffy (Himself);5x3z83lf:Jasmine Lowson (Herself);9b46vz01:Johnny Vegas (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
4x4,2002-02-03,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);q868f0if:David Dickinson (Himself);sozqjugn:Debbie McGee (Herself);9b46vz01:Johnny Vegas (Himself);mhn6jovu:Bradley Walsh (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
4x5,2002-02-10,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);y8jeuq2u:Hugh Fearnley-Whittingstall (Himself);780rrh5u:Nell McAndrew (Herself);9b46vz01:Johnny Vegas (Himself);ciotpq86:Michael Winner (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
4x6,2002-02-17,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);mf4suyp4:Nicky Clarke (Himself);i1het9tm:Tanya Strecker (Herself);9b46vz01:Johnny Vegas (Himself);vvepknc3:Quentin Willson (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
4x7,2002-02-24,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);d6j2jrxn:Craig Cash (Himself);ykjaix9v:Chris Greener (Himself);7ad4ld0f:Lisa Rogers (Herself);9b46vz01:Johnny Vegas (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
4x8,2002-03-03,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);tuqhx4gs:Geoff Capes (Himself);yjiinsgt:Damon Hill (Himself);yoqwlew0:Patsy Kensit (Herself);9b46vz01:Johnny Vegas (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
5x1,2002-10-06,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);vvpc2276:Sara Cox (Herself);85bqozg0:Neil Hamilton (Himself);itmpzxqy:Liz Smith (Herself);wlk9prmg:Lisa Snowdon (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,http://genome.ch.bbc.co.uk/839ccfcbf823430cba93012d071869e8
5x2,2002-10-13,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);b63vstwa:Amanda Donohoe (Herself);kh3m7w91:Jeremy Edwards (Himself);7ymhxgjk:Curtis Stigers (Himself);9b46vz01:Johnny Vegas (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
5x3,2002-10-20,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);z4pdfiqi:Cat Deeley (Herself);qx0mniaw:Vernon Kay (Himself);38jm3gkl:Magnus Magnusson (Himself);9b46vz01:Johnny Vegas (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
5x4,2002-10-27,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);dzs8dz72:Clement Freud (Himself);5i4yws7b:Claire Goose (Herself);bchqpuf7:Myleene Klass (Herself);9b46vz01:Johnny Vegas (Himself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
5x5,2002-11-03,y4h3y6yc:Vic Reeves (Himself - Presenter);k4ynw4wa:Bob Mortimer (Himself - Presenter);x2vmpjxi:Ulrika Jonsson (Herself - Team Captain);j0l9nspu:Will Self (Himself - Team Captain);6842or3s:Lucy Benjamin (Herself);mf8we1ly:Jessica Taylor (Herself);9b46vz01:Johnny Vegas (Himself);e1ztvd8a:Jo Whiley (Herself);wguqcrlr:Matt Lucas (Himself - George Dawes);,
