Episode,Date,Guests (Himself/Herself - Role),References
1x01,2010-05-11,a7y0buzm:Charlie Brooker (Himself - Host);m2nw4eae:David Mitchell (Himself);h663jn38:Rufus Hound (Himself);x5unmeqr:Victoria Coren Mitchell (Herself),https://www.bbc.co.uk/programmes/b00s943r
1x02,2010-05-18,a7y0buzm:Charlie Brooker (Himself - Host);3xla1274:Lee Mack (Himself);bgfey1xd:Josie Long (Herself);j6nosik8:Tom Basden (Himself),https://www.bbc.co.uk/programmes/b00scw1t
1x03,2010-05-25,a7y0buzm:Charlie Brooker (Himself - Host);35eciypt:Richard Herring (Himself);xlfikdcz:Holly Walsh (Herself);ojljn7ng:Iain Morris (Himself),https://www.bbc.co.uk/programmes/b00sg13n
1x04,2010-06-01,a7y0buzm:Charlie Brooker (Himself - Host);xyq08s93:Liza Tarbuck (Herself);35eciypt:Richard Herring (Himself);djszfogi:Jack Whitehall (Himself),https://www.bbc.co.uk/programmes/b00sjmvq
1x05,2010-06-08,a7y0buzm:Charlie Brooker (Himself - Host);oxyl45br:Sarah Millican (Herself);3xla1274:Lee Mack (Himself);ojljn7ng:Iain Morris (Himself),https://www.bbc.co.uk/programmes/b00sm8kq
2x01,2011-03-10,a7y0buzm:Charlie Brooker (Himself - Host);kb3a51qs:Mark Watson (Himself);xlfikdcz:Holly Walsh (Herself);h663jn38:Rufus Hound (Himself),https://www.bbc.co.uk/programmes/b00z5zy3
2x02,2011-03-17,a7y0buzm:Charlie Brooker (Himself - Host);8bduf8ih:Frank Skinner (Himself);bik5fnyr:Isy Suttie (Herself);k6egqudh:Jon Richardson (Himself),https://www.bbc.co.uk/programmes/b00zf4j7
2x03,2011-03-24,a7y0buzm:Charlie Brooker (Himself - Host);3xla1274:Lee Mack (Himself);d9v5vbkt:Shaparak Khorsandi (Herself);yd3xtcvq:David Schneider (Himself),https://www.bbc.co.uk/programmes/b00zm31y
2x04,2011-03-31,a7y0buzm:Charlie Brooker (Himself - Host);h663jn38:Rufus Hound (Himself);6462fbck:Sharon Horgan (Herself);fd2lptiy:Fergus Craig (Himself),https://www.bbc.co.uk/programmes/b00zslfj
2x05,2011-04-07,a7y0buzm:Charlie Brooker (Himself - Host);8bduf8ih:Frank Skinner (Himself);bgfey1xd:Josie Long (Herself);nna0drvg:Dan Maier (Himself),https://www.bbc.co.uk/programmes/b0100ljr
2x06,2011-04-14,a7y0buzm:Charlie Brooker (Himself - Host);3xla1274:Lee Mack (Himself);oxyl45br:Sarah Millican (Herself);p8101an0:Graham Linehan (Himself),https://www.bbc.co.uk/programmes/b0106v13
3x01,2012-05-16,a7y0buzm:Charlie Brooker (Himself - Host);3xla1274:Lee Mack (Himself);nlbhhrhx:Susan Calman (Herself);nna0drvg:Dan Maier (Himself),https://www.bbc.co.uk/programmes/b01hkz2n
3x02,2012-05-23,a7y0buzm:Charlie Brooker (Himself - Host);3xla1274:Lee Mack (Himself);xlfikdcz:Holly Walsh (Herself);t4r1ivmw:Barry Cryer (Himself),https://www.bbc.co.uk/programmes/b01hxmws
3x03,2012-05-30,a7y0buzm:Charlie Brooker (Himself - Host);p8101an0:Graham Linehan (Himself);q1vghuhp:Matthew Crosby (Himself);p0eva3u3:Helen Zaltzman (Herself),https://www.bbc.co.uk/programmes/b01j5nws
3x04,2012-06-06,a7y0buzm:Charlie Brooker (Himself - Host);p8101an0:Graham Linehan (Himself);bik5fnyr:Isy Suttie (Herself);xlfikdcz:Holly Walsh (Herself),https://www.bbc.co.uk/programmes/b01jhdh7
3x05,2012-06-13,a7y0buzm:Charlie Brooker (Himself - Host);nlbhhrhx:Susan Calman (Herself);lcx9zc14:Miles Jupp (Himself);olmxxhzk:Shaun Pye (Himself),https://www.bbc.co.uk/programmes/b01jrjq8
3x06,2012-06-20,a7y0buzm:Charlie Brooker (Himself - Host);5a6ylpdb:Richard Osman (Himself);vj7g8edl:Rob Beckett (Himself);nlbhhrhx:Susan Calman (Herself),https://www.bbc.co.uk/programmes/b01jxrtw
