Episode,Date,Guests (Himself/Herself - Role),References
0x01,2016-02-05,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself);tqm7s6s8:Jo Martin (Herself);901zlwpd:Jimmy James Jones (Himself);5cwqr5uo:Toby Williams (Himself);u58h18yd:Paul Chowdhry (Himself);0m2aa811:Judi Love (Herself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/
1x01,2020-10-06,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself - Team Captain);0m2aa811:Judi Love (Herself - Team Captain);u58h18yd:Paul Chowdhry (Himself);75gf53uy:Tom Allen (Himself);kcxdl5ii:Colin Salmon (Himself);s05k1k8n:Angie Le Mar (Herself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/episodes/1/
1x02,2020-10-13,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself - Team Captain);0m2aa811:Judi Love (Herself - Team Captain);1rtqz52s:Russell Kane (Himself);03rkdfee:Verona Rose (Herself);ymmon20k:AJ Odudu (Herself);4rm30csy:Nathan Caton (Himself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/episodes/1/2/
1x03,2020-10-20,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself - Team Captain);0m2aa811:Judi Love (Herself - Team Captain);901zlwpd:Jimmy James Jones (Himself);4omd31xd:Kerry Godliman (Herself);zqbtth0t:Kojo Anim (Himself);axn6ffro:Humza Arshad (Himself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/episodes/1/3/
1x04,2020-10-27,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself - Team Captain);0m2aa811:Judi Love (Herself - Team Captain);5cwqr5uo:Toby Williams (Himself);u58h18yd:Paul Chowdhry (Himself);i90vptga:Shaun Wallace (Himself);4o00yn0w:Sophie Duker (Herself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/episodes/1/4/
2x01,2021-10-03,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself - Team Captain);0m2aa811:Judi Love (Herself - Team Captain);1rtqz52s:Russell Kane (Himself);sy2sdgn0:Dane Baptiste (Himself);uk8mmmbl:Reginald D. Hunter (Himself);zg48w072:Fatiha El-Ghorri (Herself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/episodes/2/1/
2x02,2021-10-10,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself - Team Captain);0m2aa811:Judi Love (Herself - Team Captain);zqbtth0t:Kojo Anim (Himself);ep70k7lt:Eddie Kadi (Himself);6egq5ot8:Stephen K. Amos (Himself);tuibw8v6:Bethany Black (Herself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/episodes/2/2/
2x03,2021-10-17,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself - Team Captain);0m2aa811:Judi Love (Herself - Team Captain);axn6ffro:Humza Arshad (Himself);v05zgb6x:Curtis Walker (Himself);mkuo9ika:James Acaster (Himself);c3cbui48:Sikisa (Herself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/episodes/2/3/
2x04,2021-10-24,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself - Team Captain);0m2aa811:Judi Love (Herself - Team Captain);03rkdfee:Verona Rose (Herself);y2e6i9ih:Kemah Bob (Herself);lyr97zzu:Sara Pascoe (Herself);5glerez5:Shazia Mirza (Herself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/episodes/2/4/
2x05,2021-10-31,c2meynfa:Jimmy Akingbola (Himself - Host);4qkwd4jp:Chizzy Akudolu (Herself - Team Captain);0m2aa811:Judi Love (Herself - Team Captain);u58h18yd:Paul Chowdhry (Himself);lcx9zc14:Miles Jupp (Himself);rk5t3t7y:Tom Moutchi (Himself);ggkans1f:Sukh Ojla (Herself),https://www.comedy.co.uk/tv/sorry_i_didnt_know/episodes/2/5/
