Episode,Date,Guests (Himself/Herself - Role),References
1x01,1992-09-19,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);3dai14ts:Paul Merton (Himself);ooro5gcx:Willie Rushton (Himself);re04opkq:Dawn French (Herself);,http://genome.ch.bbc.co.uk/4b700e4a3ca04358a073fd138fb03050 http://www.independent.co.uk/arts-entertainment/television-match-making-james-rampton-reviews-the-best-of-the-weekends-programmes-1552733.html
1x02,1992-09-26,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);,http://genome.ch.bbc.co.uk/9ba7268385054f7fb01a884405ad934b
1x03,1992-10-03,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);,http://genome.ch.bbc.co.uk/437fc2343d2941b8bd1b004eccefef75
1x04,1992-10-10,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);nch01m5e:Sandi Toksvig (Herself);tz7to4m0:Stephen Frost (Himself);2krdo89a:Alan Coren (Himself);,http://genome.ch.bbc.co.uk/0030b79989b64cafa2186c166f4c078d https://www.youtube.com/watch?v=6kpvmvUxHs8
1x05,1992-10-17,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);nch01m5e:Sandi Toksvig (Herself);pd0sm95v:Steve Frost (Himself);i4apt8jq:Clive Anderson (Himself);rlzqa2sb:Marjorie Proops (Herself - celebrity question);,http://genome.ch.bbc.co.uk/b4c59f6f7b1f4139a4c80e752f9fc6ae
1x06,1992-10-24,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);nch01m5e:Sandi Toksvig (Herself);pfq78xcf:Geoffrey Perkins (Himself);8bduf8ih:Frank Skinner (Himself);szqj2i5f:Gary Lineker (Himself);,http://genome.ch.bbc.co.uk/ae3979cfcc754da391677638c35867c5
2x01,1993-06-25,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);b93y6vnu:Jo Brand (Herself - Regular);nch01m5e:Sandi Toksvig (Herself);tz7to4m0:Stephen Frost (Himself);,http://genome.ch.bbc.co.uk/b9428c33f25d400c885acd3b8e25e19a http://www.imdb.com/title/tt0531175/
2x02,1993-07-02,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);b93y6vnu:Jo Brand (Herself - Regular);8ncwibxa:Craig Ferguson (Himself);smrcieap:Meera Syal (Herself);lhmu287e:Annabel Croft (Herself - celebrity question);,http://genome.ch.bbc.co.uk/22118b94f3214d6689ee4ffcc7ad0e71 http://www.imdb.com/title/tt0531176/
2x03,1993-07-09,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);b93y6vnu:Jo Brand (Herself - Regular);pvzzpp3b:Pete McCarthy (Himself);nch01m5e:Sandi Toksvig (Herself);pfdwt6fw:Neil Kinnock (Himself - celebrity question);,http://genome.ch.bbc.co.uk/39f5a0b8ac7d4551a4523537176d704d http://www.imdb.com/title/tt0531177/
2x04,1993-07-16,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);b93y6vnu:Jo Brand (Herself - Regular);8ncwibxa:Craig Ferguson (Himself);4mzh48iq:Andy Hamilton (Himself);sp0919u8:David Gower (Himself - celebrity question);,http://genome.ch.bbc.co.uk/9f2a05b79afa4114a525b5bd42d17e05 http://www.imdb.com/title/tt0531178/
2x05,1993-07-23,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);b93y6vnu:Jo Brand (Herself - Regular);tz7to4m0:Stephen Frost (Himself);pvzzpp3b:Pete McCarthy (Himself);0tldhorj:Tony Blackburn (Himself - celebrity question);,http://genome.ch.bbc.co.uk/6762869d0460485395e7ad5107ab7385 http://www.imdb.com/title/tt0531179/
2x06,1993-07-30,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);b93y6vnu:Jo Brand (Herself - Regular);4mzh48iq:Andy Hamilton (Himself);32gvimgg:Nick Hancock (Himself);cdsouocs:Cynthia Payne (Herself - celebrity question);,http://genome.ch.bbc.co.uk/4645a66380d04b718d0a2eb46c7d28a1 http://www.imdb.com/title/tt0531180/
2x07,1993-08-06,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);b93y6vnu:Jo Brand (Herself - Regular);5b5you5n:Alistair McGowan (Himself);nch01m5e:Sandi Toksvig (Herself);2yvghn90:Tessa Sanderson (Herself - celebrity question);zt7vc25z:John McCririck (Himself - celebrity question);,http://genome.ch.bbc.co.uk/df1a2a490f6946f89a9ee2536fc2f515 http://www.imdb.com/title/tt0531181/ https://www.youtube.com/watch?v=r7D-5WOYaVw
2x08,1993-08-13,7c9qtyew:Jimmy Mulville (Himself - Chair);ltky6r8w:Tony Hawks (Himself - Regular);b93y6vnu:Jo Brand (Herself - Regular);87ulicd3:Jeremy Hardy (Himself);2mp3k017:Jimeoin (Himself);v6koxi80:Tim Rice (Himself - celebrity question);,http://genome.ch.bbc.co.uk/1601bb3050e241b0b94fe2e03ceb0998
