Episode,Date,Guests (Himself/Herself - Role),References
20180716,2018-07-16,pv3xv5t8:Peter van Onselen (Himself - Host);6sykgrdl:James Morrow (Himself);bjfmk2n5:Silma Ihram (Herself);nwfqjmu4:Van Badham (Herself);dpguug78:Kate Carnell (Herself),http://www.abc.net.au/news/2018-07-16/the-drum-monday-july-16/10000634
20180717,2018-07-17,pv3xv5t8:Peter van Onselen (Himself - Host);dpd2qe1v:Katie Acheson (Herself);pceu1zm1:Chas Licciardello (Himself);5jz4brde:James Campbell (Himself);gctyoqrt:Suelette Dreyfus (Herself),http://www.abc.net.au/news/2018-07-17/the-drum-tuesday-july-17/10005204
20180718,2018-07-18,bgi2x608:Julia Baird (Herself - Host);5gt2fs03:Nicki Hutley (Herself);pioyn09i:Lucy Brogden (Herself);yif8oaev:Ian Hickie (Himself);r9ilqcoi:Malcolm Farr (Himself),http://www.abc.net.au/news/2018-07-18/the-drum-wednesday-july-18/10010244
20180719,2018-07-19,pv3xv5t8:Peter van Onselen (Himself - Host);n21h5lpy:Bhakthi Puvanenthiran (Herself);3gvxthgp:David Marr (Himself);b6e47hrf:Katherine O’Regan (Herself);7y4hhlx3:Gray Connolly (Himself),http://www.abc.net.au/news/2018-07-19/the-drum-thursday-july-19/10015214
20180720,2018-07-20,bgi2x608:Julia Baird (Herself - Host);uf0mucgi:Sunil Badami (Himself);n6ja8cdo:Robyn Parker (Herself);ocbbqh3a:Santilla Chingaipe (Herself);augxw0he:Shane Wright (Himself),http://www.abc.net.au/news/2018-07-20/the-drum-friday-july-20/10019384
20180723,2018-07-23,pv3xv5t8:Peter van Onselen (Himself - Host);trdplte0:Elaine Pearson (Herself);o78jvhc3:Peter Hartcher (Himself);6zrk0iyg:Warren Mundine (Himself);klz76f38:Primrose Riordan (Herself),http://www.abc.net.au/news/2018-07-23/the-drum-monday-july-23/10027096
20180724,2018-07-24,pv3xv5t8:Peter van Onselen (Himself - Host);fnp3vyh1:Adam Carrel (Himself);wfa2laum:Jane Stanton (Herself);iyd842q3:Parnell McGuinness (Herself);p4ox9yao:Peter Lewis (Himself),http://www.abc.net.au/news/2018-07-24/the-drum-tuesday-july-24/10031178
20180725,2018-07-25,bgi2x608:Julia Baird (Herself - Host);qqnafegr:Alice Workman (Herself);akune0s8:Aaron Patrick (Himself);lrkvbuxw:John Slater (Himself);dgpt8tdj:Jane Gilmore (Herself),http://www.abc.net.au/news/2018-07-25/the-drum-wednesday-july-25/10035988
20180726,2018-07-26,bgi2x608:Julia Baird (Herself - Host);ngfunr64:Geraldine Doogue (Herself);45voe501:Mark Kenny (Himself);fvj8mwtk:Saman Shad (Herself);7sftbsgm:Andrew Jaspan (Himself),http://www.abc.net.au/news/2018-07-26/the-drum-thursday-july-26/10040966
20180727,2018-07-27,pv3xv5t8:Peter van Onselen (Himself - Host);97bv4sxs:Jan Fran (Herself);2allljox:Denis Atkins (Himself);llo75v46:Amanda Vanstone (Herself);ucf133tn:Emma Dawson (Herself),http://www.abc.net.au/news/2018-07-27/the-drum-friday-july-27/10045400
