Episode,Date,Guests (Himself/Herself - Role),References
2012x01,2012-08-30,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);wyv2lc7u:Andrew Flintoff (Himself);,https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x02,2012-08-31,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);k0oyaq2d:Christine Ohuruogu (Herself);,https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x03,2012-09-01,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);gx5wshcw:Rachael Latham (Herself),https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x04,2012-09-02,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);tiewbgqw:Jimmy Carr (Himself);un06wof1:Nkegbe Botsyo (Himself),https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x05,2012-09-03,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);efoj54ha:Jody Cundy (Himself),https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x06,2012-09-04,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);yipahedd:Sean Lock (Himself);q95q64x2:Jacqueline Freney (Herself),https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x07,2012-09-05,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);tf7vbgni:Warwick Davis (Himself);,https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x08,2012-09-06,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);tiewbgqw:Jimmy Carr (Himself);0fwybv40:Hannah Cockroft (Herself);,https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x09,2012-09-07,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);8prg3toq:Jonnie Peacock (Himself);39jhykvf:Jason Smyth (Himself),https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x10,2012-09-08,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);uln4lj82:Dominic West (Himself);gx5wshcw:Rachael Latham (Herself);rjwvbrh7:Giles Long (Himself);ezwnmmt5:Diana Mann (Herself);fvglfapk:Iwan Thomas (Himself);ijhqa22r:Lee Pearson (Himself);efoj54ha:Jody Cundy (Himself);ztd47uz3:Liz Johnson (Herself);qufar85x:Charlotte Henshaw (Herself);ds89mowl:Claire Cashmore (Herself),https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
2012x11,2012-12-30,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);oi4rspa1:Nicola Adams (Herself);8prg3toq:Jonnie Peacock (Himself);ln497k25:Jamie Oliver (Himself);u37uloj0:Rachel Onasanwo (Herself),https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
1x01,2013-01-25,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);so47sr06:Idris Elba (Himself),https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
1x02,2013-02-01,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);fcarckng:Brian Cox (Himself);,https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
1x03,2013-02-08,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);0luvcipu:Rafe Spall (Himself),https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
1x04,2013-02-15,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);goz3ofbt:Jack Dee (Himself);,https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
1x05,2013-02-22,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);4wu761jp:Jenna Coleman (Herself);,https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
1x06,2013-03-01,nf812lji:Adam Hills (Himself - Host);8osc35ur:Alex Brooker (Himself - Regular);ysvv93ea:Josh Widdicombe (Himself - Regular);cgg5lqmj:Jonathan Ross (Himself);,https://en.wikipedia.org/wiki/List_of_The_Last_Leg_episodes
