Episode,Date,Guests (Himself/Herself - Role),References
1x01,2007-04-23,m2nw4eae:David Mitchell (Himself - Host);funl9xzs:Marcus Brigstocke (Himself);02265fdx:Neil Mullarkey (Himself);m9jas0rx:Frankie Boyle (Himself);ltky6r8w:Tony Hawks (Himself);,
1x02,2007-04-30,m2nw4eae:David Mitchell (Himself - Host);i4apt8jq:Clive Anderson (Himself);b93y6vnu:Jo Brand (Herself);hk2rczao:Alan Davies (Himself);87ulicd3:Jeremy Hardy (Himself);,
1x03,2007-05-07,m2nw4eae:David Mitchell (Himself - Host);87ulicd3:Jeremy Hardy (Himself);i4apt8jq:Clive Anderson (Himself);b93y6vnu:Jo Brand (Herself);hk2rczao:Alan Davies (Himself);,
1x04,2007-05-14,x9y0q5f5:Dara O'Briain (Himself);nch01m5e:Sandi Toksvig (Herself);0i00czvq:Graeme Garden (Himself);m2nw4eae:David Mitchell (Himself - Host);5eveb8p1:Jo Caulfield (Herself);,
1x05,2007-05-21,m2nw4eae:David Mitchell (Himself - Host);m9jas0rx:Frankie Boyle (Himself);funl9xzs:Marcus Brigstocke (Himself);ltky6r8w:Tony Hawks (Himself);02265fdx:Neil Mullarkey (Himself);,
1x06,2007-05-28,nch01m5e:Sandi Toksvig (Herself);x9y0q5f5:Dara O'Briain (Himself);0i00czvq:Graeme Garden (Himself);5eveb8p1:Jo Caulfield (Herself);m2nw4eae:David Mitchell (Himself - Host);,
2x01,2008-05-05,ltky6r8w:Tony Hawks (Himself);ob8tp2nu:Simon Evans (Himself);sx5n2tkh:Phill Jupitus (Himself);hk2rczao:Alan Davies (Himself);m2nw4eae:David Mitchell (Himself - Host);,
2x02,2008-05-12,m2nw4eae:David Mitchell (Himself - Host);0i00czvq:Graeme Garden (Himself);bbjlysaj:Fred MacAulay (Himself);l2q1tl1a:Michael McIntyre (Himself);pgoexum5:Lucy Porter (Herself);,
2x03,2008-05-19,5yw66sca:Tim Vine (Himself);3xla1274:Lee Mack (Himself);lqu3n4lu:Ed Byrne (Himself);vj70vg71:Adam Buxton (Himself);m2nw4eae:David Mitchell (Himself - Host);,
2x04,2008-05-26,ob8tp2nu:Simon Evans (Himself);sx5n2tkh:Phill Jupitus (Himself);ltky6r8w:Tony Hawks (Himself);hk2rczao:Alan Davies (Himself);m2nw4eae:David Mitchell (Himself - Host);,
2x05,2008-06-02,0i00czvq:Graeme Garden (Himself);bbjlysaj:Fred MacAulay (Himself);m2nw4eae:David Mitchell (Himself - Host);pgoexum5:Lucy Porter (Herself);l2q1tl1a:Michael McIntyre (Himself);,
2x06,2008-06-09,5yw66sca:Tim Vine (Himself);m2nw4eae:David Mitchell (Himself - Host);vj70vg71:Adam Buxton (Himself);lqu3n4lu:Ed Byrne (Himself);3xla1274:Lee Mack (Himself);,
2x07,2008-12-15,m2nw4eae:David Mitchell (Himself - Host);0i00czvq:Graeme Garden (Himself);goz3ofbt:Jack Dee (Himself);yipahedd:Sean Lock (Himself);lg4f4z19:Armando Iannucci (Himself);,
3x01,2009-03-23,0i00czvq:Graeme Garden (Himself);y9qap6t1:Chris Addison (Himself);i4apt8jq:Clive Anderson (Himself);pgoexum5:Lucy Porter (Herself);m2nw4eae:David Mitchell (Himself - Host);,
3x02,2009-03-30,xstc1ush:Milton Jones (Himself);rhhx9oi8:Johnny Vaughan (Himself);ob8tp2nu:Simon Evans (Himself);ltky6r8w:Tony Hawks (Himself);m2nw4eae:David Mitchell (Himself - Host);,
3x03,2009-04-06,pgoexum5:Lucy Porter (Herself);m2nw4eae:David Mitchell (Himself - Host);0i00czvq:Graeme Garden (Himself);i4apt8jq:Clive Anderson (Himself);y9qap6t1:Chris Addison (Himself);,
3x04,2009-04-13,m2nw4eae:David Mitchell (Himself - Host);87ulicd3:Jeremy Hardy (Himself);bbjlysaj:Fred MacAulay (Himself);goz3ofbt:Jack Dee (Himself);j0l9nspu:Will Self (Himself);,
3x05,2009-04-20,yipahedd:Sean Lock (Himself);dvfmpovw:Arthur Smith (Himself);yy0vihbr:Sue Perkins (Herself);m2nw4eae:David Mitchell (Himself - Host);roo1tkll:Miranda Hart (Herself);,
3x06,2009-04-27,m2nw4eae:David Mitchell (Himself - Host);87ulicd3:Jeremy Hardy (Himself);j0l9nspu:Will Self (Himself);dvfmpovw:Arthur Smith (Himself);bbjlysaj:Fred MacAulay (Himself);,
4x01,2009-10-05,m2nw4eae:David Mitchell (Himself - Host);d9v5vbkt:Shappi Khorsandi (Herself);nf812lji:Adam Hills (Himself);w4g8xnp5:Rhod Gilbert (Himself);uk8mmmbl:Reginald D. Hunter (Himself);,
4x02,2009-10-12,uuvdl6kj:Dom Joly (Himself);5dvk7gjz:Henning Wehn (Himself);i4apt8jq:Clive Anderson (Himself);m2nw4eae:David Mitchell (Himself - Host);m2nsmyzo:Fi Glover (Herself);,
4x03,2009-10-19,0i00czvq:Graeme Garden (Himself);m2nw4eae:David Mitchell (Himself - Host);ltky6r8w:Tony Hawks (Himself);dvfmpovw:Arthur Smith (Himself);sx5n2tkh:Phill Jupitus (Himself);,
4x04,2009-10-26,m2nw4eae:David Mitchell (Himself - Host);nf812lji:Adam Hills (Himself);d9v5vbkt:Shappi Khorsandi (Herself);uk8mmmbl:Reginald D. Hunter (Himself);w4g8xnp5:Rhod Gilbert (Himself);,
4x05,2009-11-02,m2nw4eae:David Mitchell (Himself - Host);i4apt8jq:Clive Anderson (Himself);uuvdl6kj:Dom Joly (Himself);m2nsmyzo:Fi Glover (Herself);5dvk7gjz:Henning Wehn (Himself);,
4x06,2009-11-09,dvfmpovw:Arthur Smith (Himself);ltky6r8w:Tony Hawks (Himself);0i00czvq:Graeme Garden (Himself);m2nw4eae:David Mitchell (Himself - Host);sx5n2tkh:Phill Jupitus (Himself);,
4x07,2009-12-28,m2nw4eae:David Mitchell (Himself - Host);9hgf4amz:Rob Brydon (Himself);7cgf8ofb:John Lloyd (Himself);fc3xrxvy:Stephen Fry (Himself);hk2rczao:Alan Davies (Himself);,
5x01,2010-03-29,0i00czvq:Graeme Garden (Himself);pgoexum5:Lucy Porter (Herself);5dvk7gjz:Henning Wehn (Himself);funl9xzs:Marcus Brigstocke (Himself);m2nw4eae:David Mitchell (Himself - Host);,
5x02,2010-04-05,rfi72w6w:Catherine Tate (Herself);sx5n2tkh:Phill Jupitus (Himself);dvfmpovw:Arthur Smith (Himself);ltky6r8w:Tony Hawks (Himself);m2nw4eae:David Mitchell (Himself - Host);,
5x03,2010-04-12,m2nw4eae:David Mitchell (Himself - Host);a7y0buzm:Charlie Brooker (Himself);xyq08s93:Liza Tarbuck (Herself);nlbhhrhx:Susan Calman (Herself);bbjlysaj:Fred MacAulay (Himself);,
5x04,2010-04-19,funl9xzs:Marcus Brigstocke (Himself);m2nw4eae:David Mitchell (Himself - Host);pgoexum5:Lucy Porter (Herself);0i00czvq:Graeme Garden (Himself);5dvk7gjz:Henning Wehn (Himself);,
5x05,2010-04-26,rfi72w6w:Catherine Tate (Herself);m2nw4eae:David Mitchell (Himself - Host);ltky6r8w:Tony Hawks (Himself);dvfmpovw:Arthur Smith (Himself);sx5n2tkh:Phill Jupitus (Himself);,
5x06,2010-05-03,m2nw4eae:David Mitchell (Himself - Host);nlbhhrhx:Susan Calman (Herself);xyq08s93:Liza Tarbuck (Herself);bbjlysaj:Fred MacAulay (Himself);a7y0buzm:Charlie Brooker (Himself);,
6x01,2010-09-27,lg4f4z19:Armando Iannucci (Himself);m2nw4eae:David Mitchell (Himself - Host);y9qap6t1:Chris Addison (Himself);nlbhhrhx:Susan Calman (Herself);h663jn38:Rufus Hound (Himself);,
6x02,2010-10-04,m2nw4eae:David Mitchell (Himself - Host);dvfmpovw:Arthur Smith (Himself);0i00czvq:Graeme Garden (Himself);5dvk7gjz:Henning Wehn (Himself);ltky6r8w:Tony Hawks (Himself);,
6x03,2010-10-11,w4g8xnp5:Rhod Gilbert (Himself);m2nw4eae:David Mitchell (Himself - Host);pgoexum5:Lucy Porter (Herself);h6o9xvx5:Kevin Bridges (Himself);p8h0unpx:Tom Wrigglesworth (Himself);,
6x04,2010-10-18,m2nw4eae:David Mitchell (Himself - Host);y9qap6t1:Chris Addison (Himself);nlbhhrhx:Susan Calman (Herself);lg4f4z19:Armando Iannucci (Himself);h663jn38:Rufus Hound (Himself);,
6x05,2010-10-25,m2nw4eae:David Mitchell (Himself - Host);0i00czvq:Graeme Garden (Himself);dvfmpovw:Arthur Smith (Himself);5dvk7gjz:Henning Wehn (Himself);ltky6r8w:Tony Hawks (Himself);,
6x06,2010-11-01,m2nw4eae:David Mitchell (Himself - Host);pgoexum5:Lucy Porter (Herself);h6o9xvx5:Kevin Bridges (Himself);p8h0unpx:Tom Wrigglesworth (Himself);w4g8xnp5:Rhod Gilbert (Himself);,
7x01,2011-04-04,funl9xzs:Marcus Brigstocke (Himself);pgoexum5:Lucy Porter (Herself);hk2rczao:Alan Davies (Himself);goz3ofbt:Jack Dee (Himself);m2nw4eae:David Mitchell (Himself - Host);,
7x02,2011-04-11,0i00czvq:Graeme Garden (Himself);i4apt8jq:Clive Anderson (Himself);5dvk7gjz:Henning Wehn (Himself);m2nw4eae:David Mitchell (Himself - Host);yy0vihbr:Sue Perkins (Herself);,
7x03,2011-04-18,dvfmpovw:Arthur Smith (Himself);a7y0buzm:Charlie Brooker (Himself);ltky6r8w:Tony Hawks (Himself);m2nw4eae:David Mitchell (Himself - Host);w4g8xnp5:Rhod Gilbert (Himself);,
7x04,2011-04-25,goz3ofbt:Jack Dee (Himself);hk2rczao:Alan Davies (Himself);pgoexum5:Lucy Porter (Herself);funl9xzs:Marcus Brigstocke (Himself);m2nw4eae:David Mitchell (Himself - Host);,
7x05,2011-05-02,m2nw4eae:David Mitchell (Himself - Host);0i00czvq:Graeme Garden (Himself);yy0vihbr:Sue Perkins (Herself);5dvk7gjz:Henning Wehn (Himself);i4apt8jq:Clive Anderson (Himself);,
7x06,2011-05-09,m2nw4eae:David Mitchell (Himself - Host);w4g8xnp5:Rhod Gilbert (Himself);a7y0buzm:Charlie Brooker (Himself);ltky6r8w:Tony Hawks (Himself);dvfmpovw:Arthur Smith (Himself);,
8x01,2011-12-26,0i00czvq:Graeme Garden (Himself);3xla1274:Lee Mack (Himself);h663jn38:Rufus Hound (Himself);m2nw4eae:David Mitchell (Himself - Host);goz3ofbt:Jack Dee (Himself);,
8x02,2012-01-02,m2nw4eae:David Mitchell (Himself - Host);kb3a51qs:Mark Watson (Himself);5dvk7gjz:Henning Wehn (Himself);lqu3n4lu:Ed Byrne (Himself);sx5n2tkh:Phill Jupitus (Himself);,
8x03,2012-01-09,hk2rczao:Alan Davies (Himself);df8k5tz6:John Finnemore (Himself);p8h0unpx:Tom Wrigglesworth (Himself);ltky6r8w:Tony Hawks (Himself);m2nw4eae:David Mitchell (Himself - Host);,
8x04,2012-01-16,h663jn38:Rufus Hound (Himself);m2nw4eae:David Mitchell (Himself - Host);goz3ofbt:Jack Dee (Himself);3xla1274:Lee Mack (Himself);0i00czvq:Graeme Garden (Himself);,
8x05,2012-01-23,m2nw4eae:David Mitchell (Himself - Host);kb3a51qs:Mark Watson (Himself);45nd42d5:Roisin Conaty (Herself);5dvk7gjz:Henning Wehn (Himself);n87xrdv6:Alex Horne (Himself);,
8x06,2012-01-30,p8h0unpx:Tom Wrigglesworth (Himself);m2nw4eae:David Mitchell (Himself - Host);ltky6r8w:Tony Hawks (Himself);hk2rczao:Alan Davies (Himself);df8k5tz6:John Finnemore (Himself);,
9x01,2012-04-02,ltky6r8w:Tony Hawks (Himself);m2nw4eae:David Mitchell (Himself - Host);dvfmpovw:Arthur Smith (Himself);pgoexum5:Lucy Porter (Herself);0i00czvq:Graeme Garden (Himself);,
9x02,2012-04-09,df8k5tz6:John Finnemore (Himself);5dvk7gjz:Henning Wehn (Himself);p8h0unpx:Tom Wrigglesworth (Himself);m2nw4eae:David Mitchell (Himself - Host);34qt5d7m:Danielle Ward (Herself);,
