Episode,Date,Guests (Himself/Herself - Role),References
1x01,2018-07-20,bmrxku03:Jo Bunting (Herself - Host);jgg561pd:London Hughes (Herself);jtkbv70w:Zoe Lyons (Herself);z5h8zk70:Kiri Pritchard-Mclean (Herself);8otcyumr:Dr Janina Ramirez (Herself),https://www.bbc.co.uk/programmes/b0b9zg8s
1x02,2018-07-27,bmrxku03:Jo Bunting (Herself - Host);irmr1td1:Sindhu Vee (Herself);zs45y9m6:Felicity Ward (Herself);bakxtyxj:Andi Oliver (Herself);hogw7vdi:Jess Phillips (Herself),https://www.bbc.co.uk/programmes/b0bbtfv1
1x03,2018-08-03,bmrxku03:Jo Bunting (Herself - Host);1voxipjt:Anneka Rice (Herself);rwra1x7w:Eleanor Tiernan (Herself);5qafkezh:Cariad Lloyd (Herself);0dlwjkya:Sue Black (Herself),https://www.bbc.co.uk/programmes/b0bclyhx
1x04,2018-08-10,bmrxku03:Jo Bunting (Herself - Host);0s8zb4lf:Rose Matafeo (Herself);da4cr1vx:Lauren Pattison (Herself);pgoexum5:Lucy Porter (Herself);xfir9m27:Val McDermid (Herself),https://www.bbc.co.uk/programmes/b0bdbrzj
1x05,2018-08-17,bmrxku03:Jo Bunting (Herself - Host);jtf52r5g:Katie Mulgrew (Herself);wm67xya4:Sally Phillips (Herself);m2nsmyzo:Fi Glover (Herself);ulgkac33:Julia Hartley-Brewer (Herself),https://www.bbc.co.uk/programmes/b0bf84p5
2x01,2019-03-07,bmrxku03:Jo Bunting (Herself - Host);4n9puxbc:Gemma Cairney (Herself);ulgkac33:Julia Hartley-Brewer (Herself);b8opjcom:Jayde Adams (Herself);jtkbv70w:Zoe Lyons (Herself),https://www.bbc.co.uk/programmes/m0002zrr
2x02,2019-03-14,bmrxku03:Jo Bunting (Herself - Host);jtf52r5g:Katie Mulgrew (Herself);rwra1x7w:Eleanor Tiernan (Herself);kgz0o86j:Eve Pollard (Herself);1voxipjt:Anneka Rice (Herself),https://www.bbc.co.uk/programmes/m000360t
2x03,2019-03-21,bmrxku03:Jo Bunting (Herself - Host);b93y6vnu:Jo Brand (Herself);suxshpu3:Sara Barron (Herself);da4cr1vx:Lauren Pattison (Herself);5bb95s7h:Samira Ahmed (Herself),https://www.bbc.co.uk/programmes/m0003cpg
2x04,2019-03-28,bmrxku03:Jo Bunting (Herself - Host);5qafkezh:Cariad Lloyd (Herself);z5h8zk70:Kiri Pritchard-Mclean (Herself);z1q37ivk:Emily Dean (Herself);ga1j4ngv:Rosemary Shrager (Herself),https://www.bbc.co.uk/programmes/m0003jsz
3x01,2019-11-07,bmrxku03:Jo Bunting (Herself - Host);b93y6vnu:Jo Brand (Herself);0s8zb4lf:Rose Matafeo (Herself);b8opjcom:Jayde Adams (Herself);yp7yhmfs:Bryony Kimmings (Herself),https://www.bbc.co.uk/programmes/m0009yyg
3x02,2019-11-14,bmrxku03:Jo Bunting (Herself - Host);4o00yn0w:Sophie Duker (Herself);rwra1x7w:Eleanor Tiernan (Herself);7iwhw229:Cally Beaton (Herself);00ruucqh:Viv Groskop (Herself),https://www.bbc.co.uk/programmes/m000b6tx
3x03,2019-11-21,bmrxku03:Jo Bunting (Herself - Host);suxshpu3:Sara Barron (Herself);rtc87v75:Elizabeth Day (Herself);xv8o8xgj:Edith Bowman (Herself);3rricgb4:Tessa Coates (Herself),https://www.bbc.co.uk/programmes/m000bg4h
3x04,2019-11-28,bmrxku03:Jo Bunting (Herself - Host);suxshpu3:Sara Barron (Herself);kgz0o86j:Eve Pollard (Herself);jma7jazd:Maisie Adam (Herself);8otcyumr:Dr Janina Ramirez (Herself),https://www.bbc.co.uk/programmes/m000bp9f
3x05,2019-12-05,bmrxku03:Jo Bunting (Herself - Host);mbdoxt50:Ayesha Hazarika (Herself);rwra1x7w:Eleanor Tiernan (Herself);vj10tfrr:Janine Harouni (Herself);jtkbv70w:Zoe Lyons (Herself),https://www.bbc.co.uk/programmes/m000c0d4
3x06,2019-12-13,bmrxku03:Jo Bunting (Herself - Host);jtkbv70w:Zoe Lyons (Herself);nvrepk5z:Helen Lewis (Herself);n5ouehky:Olga Koch (Herself);b8opjcom:Jayde Adams (Herself),https://www.bbc.co.uk/programmes/m000c4t0
