Episode,Date,Guests (Himself/Herself - Role),References
1x01,2012-02-20,e7o1gtcv:Gyles Brandreth (Himself - Host);fc3xrxvy:Stephen Fry (Himself);dbb93fkd:Natalie Haynes (Herself);xstc1ush:Milton Jones (Himself);cr7ce9yy:Lloyd Langford (Himself),https://www.bbc.co.uk/programmes/b01c7lk6
1x02,2012-02-27,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);cy7xus8k:Michael Rosen (Himself);dvfmpovw:Arthur Smith (Himself);japacokt:Paul Sinha (Himself),https://www.bbc.co.uk/programmes/b01cjm4p
1x03,2012-03-05,e7o1gtcv:Gyles Brandreth (Himself - Host);a12mas09:Susie Dent (Herself);dbb93fkd:Natalie Haynes (Herself);xstc1ush:Milton Jones (Himself);djszfogi:Jack Whitehall (Himself),https://www.bbc.co.uk/programmes/b01cvk8d
1x04,2012-03-12,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);cy7xus8k:Michael Rosen (Himself);dvfmpovw:Arthur Smith (Himself);japacokt:Paul Sinha (Himself),https://www.bbc.co.uk/programmes/b01d0prh
1x05,2012-03-19,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);a12mas09:Susie Dent (Herself);djszfogi:Jack Whitehall (Himself);xstc1ush:Milton Jones (Himself),https://www.bbc.co.uk/programmes/b01dhhps
1x06,2012-03-26,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);35eciypt:Richard Herring (Himself);fychgvqk:Jenny Eclair (Herself);n87xrdv6:Alex Horne (Himself),https://www.bbc.co.uk/programmes/b01dtkjd
2x01,2013-04-03,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);xstc1ush:Milton Jones (Himself);a12mas09:Susie Dent (Herself);ea7kakgp:Alun Cochrane (Himself),https://www.bbc.co.uk/programmes/b01rlmpt
2x02,2013-04-10,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);ikv6fsuk:Katy Brand (Herself);n87xrdv6:Alex Horne (Himself);35eciypt:Richard Herring (Himself),https://www.bbc.co.uk/programmes/b01rr48h
2x03,2013-04-17,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);cr7ce9yy:Lloyd Langford (Himself);a12mas09:Susie Dent (Herself);2ufl1i4u:Dave Gorman (Himself),https://www.bbc.co.uk/programmes/b01rvptv
2x04,2013-04-24,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);ikv6fsuk:Katy Brand (Herself);n87xrdv6:Alex Horne (Himself);35eciypt:Richard Herring (Himself),https://www.bbc.co.uk/programmes/b01s6c9z
2x05,2013-05-08,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);xstc1ush:Milton Jones (Himself);cr7ce9yy:Lloyd Langford (Himself);k47hcr0j:Robin Ince (Himself),https://www.bbc.co.uk/programmes/b01s8mns
2x06,2013-05-15,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);2ufl1i4u:Dave Gorman (Himself);a12mas09:Susie Dent (Herself);cr7ce9yy:Lloyd Langford (Himself),https://www.bbc.co.uk/programmes/b01sdmd2
3x01,2014-09-03,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);japacokt:Paul Sinha (Himself);xlfikdcz:Holly Walsh (Herself);cr7ce9yy:Lloyd Langford (Himself),https://www.bbc.co.uk/programmes/b04fzc7p
3x02,2014-09-10,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);ysvv93ea:Josh Widdicombe (Himself);vqnad76o:Helen Keen (Herself);a12mas09:Susie Dent (Herself),https://www.bbc.co.uk/programmes/b04g8q5c
3x03,2014-09-17,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);lqu3n4lu:Ed Byrne (Himself);xstc1ush:Milton Jones (Himself);v5dilpsd:Hannah Gadsby (Herself),https://www.bbc.co.uk/programmes/b04gvtj0
3x04,2014-09-24,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);ysvv93ea:Josh Widdicombe (Himself);vqnad76o:Helen Keen (Herself);a12mas09:Susie Dent (Herself),https://www.bbc.co.uk/programmes/b04hyrq3
3x05,2014-10-01,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);cr7ce9yy:Lloyd Langford (Himself);xlfikdcz:Holly Walsh (Herself);japacokt:Paul Sinha (Himself),https://www.bbc.co.uk/programmes/b04jlpn3
3x06,2014-10-08,e7o1gtcv:Gyles Brandreth (Himself - Host);dbb93fkd:Natalie Haynes (Herself);lqu3n4lu:Ed Byrne (Himself);v5dilpsd:Hannah Gadsby (Herself);xstc1ush:Milton Jones (Himself),https://www.bbc.co.uk/programmes/b04kf5zv
