Episode,Date,Guests (Himself/Herself - Role),References
1x01,2007-06-16,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);m9jas0rx:Frankie Boyle (Himself);du5xj8dc:Duncan Bannatyne (Himself);pyed9i0p:Natalie Cassidy (Herself);uuvdl6kj:Dom Joly (Himself);,
1x02,2007-06-23,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);55wxn8qc:Patrick McGuinness (Himself);r7l2j29l:Fay Ripley (Herself);c5gl5oce:John Barrowman (Himself);rvf5audn:Dominic Wood (Himself);,
1x03,2007-06-30,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself);29crsgwm:Eamonn Holmes (Himself);x2vmpjxi:Ulrika Jonsson (Herself);tiewbgqw:Jimmy Carr (Himself);,
1x04,2007-07-14,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);3vblg9jo:Jason Manford (Himself);bchqpuf7:Myleene Klass (Herself);ptic5dgo:Leslie Ash (Herself);17ti1bqt:Neil Morrissey (Himself);,
1x05,2007-07-21,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);tq4rhgl6:Russell Howard (Himself);3fezzv8h:Wendy Richard (Herself);xj0ly80i:Len Goodman (Himself);y4h3y6yc:Vic Reeves (Himself);,
1x06,2007-07-28,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);x683ycrx:Harry Enfield (Himself);acajgupg:Claudia Winkleman (Herself);23ufw09i:Tara Palmer-Tomkinson (Herself);ak7ipqjj:Dave Spikey (Himself);,
2x01,2008-07-11,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);9hgf4amz:Rob Brydon (Himself);r9njiv0i:Krishnan Guru-Murthy (Himself);om2iuo4o:Gabby Logan (Herself);whm3kdox:Robert Webb (Himself);,
2x02,2008-07-18,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);ejvlgb2l:Trisha Goddard (Herself);7cfmed1k:Ben Shephard (Himself);m9jas0rx:Frankie Boyle (Himself);o7fyqsem:Rich Hall (Himself);,
2x03,2008-07-25,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself);homuapft:Maureen Lipman (Herself);8iku6khj:Richard Wilson (Himself);pyqgtpx8:David Baddiel (Himself);,
2x04,2008-08-01,5b7d718r:Angus Deayton (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);h6a1vk7h:Davina McCall (Herself);4t1s9l32:Michael Aspel (Himself);x9y0q5f5:Dara O'Briain (Himself);3vblg9jo:Jason Manford (Himself);,
