Episode,Date,Guests (Himself/Herself - Role),References
0x01,2009-01-31,a7y0buzm:Charlie Brooker (Himself - Host);ok7h93p6:Terry Christian (Himself);h663jn38:Rufus Hound (Himself);vo7y4a4s:Jamelia (Herself);m2nw4eae:David Mitchell (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
1x01,2009-07-07,a7y0buzm:Charlie Brooker (Himself - Host);35eciypt:Richard Herring (Himself);h663jn38:Rufus Hound (Himself);vo7y4a4s:Jamelia (Herself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
1x02,2009-07-14,a7y0buzm:Charlie Brooker (Himself - Host);wiqek7yz:Grace Dent (Herself);bgfey1xd:Josie Long (Herself);8bduf8ih:Frank Skinner (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
1x03,2009-07-21,a7y0buzm:Charlie Brooker (Himself - Host);m9jas0rx:Frankie Boyle (Himself);oxyl45br:Sarah Millican (Herself);okvzuwkk:Reece Shearsmith (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
1x04,2009-07-28,a7y0buzm:Charlie Brooker (Himself - Host);twwcraft:Richard Bacon (Himself);m9jas0rx:Frankie Boyle (Himself);bgfey1xd:Josie Long (Herself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
1x05,2009-08-04,a7y0buzm:Charlie Brooker (Himself - Host);9v5nc3nl:Martin Freeman (Himself);uk8mmmbl:Reginald D. Hunter (Himself);xyq08s93:Liza Tarbuck (Herself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
1x06,2009-08-11,a7y0buzm:Charlie Brooker (Himself - Host);m9jas0rx:Frankie Boyle (Himself);bk2xi19y:Germaine Greer (Herself);8bduf8ih:Frank Skinner (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
1x07,2009-08-18,a7y0buzm:Charlie Brooker (Himself - Host);t1g5imsm:Ben Miller (Himself);m2nw4eae:David Mitchell (Himself);xlfikdcz:Holly Walsh (Herself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
1x08,2009-08-25,a7y0buzm:Charlie Brooker (Himself - Host);x5unmeqr:Victoria Coren (Herself);sx5n2tkh:Phill Jupitus (Himself);djszfogi:Jack Whitehall (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
2x01,2010-04-15,a7y0buzm:Charlie Brooker (Himself - Host);pyqgtpx8:David Baddiel (Himself);h6o9xvx5:Kevin Bridges (Himself);xyq08s93:Liza Tarbuck (Herself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
2x02,2010-04-22,a7y0buzm:Charlie Brooker (Himself - Host);6462fbck:Sharon Horgan (Herself);3vblg9jo:Jason Manford (Himself);whm3kdox:Robert Webb (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
2x03,2010-04-29,a7y0buzm:Charlie Brooker (Himself - Host);y9qap6t1:Chris Addison (Himself);h663jn38:Rufus Hound (Himself);adwy1gkx:Lauren Laverne (Herself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
2x04,2010-05-06,a7y0buzm:Charlie Brooker (Himself - Host);6462fbck:Sharon Horgan (Herself);7lm338ce:Peter Serafinowicz (Himself);whm3kdox:Robert Webb (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
2x05,2010-05-13,a7y0buzm:Charlie Brooker (Himself - Host);x5unmeqr:Victoria Coren (Herself);m2nw4eae:David Mitchell (Himself);sdggyf7s:Andy Nyman (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
2x06,2010-05-20,a7y0buzm:Charlie Brooker (Himself - Host);uk8mmmbl:Reginald D. Hunter (Himself);oxyl45br:Sarah Millican (Herself);7lm338ce:Peter Serafinowicz (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
2x07,2010-05-27,a7y0buzm:Charlie Brooker (Himself - Host);y9qap6t1:Chris Addison (Himself);xlfikdcz:Holly Walsh (Herself);kb3a51qs:Mark Watson (Himself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
2x08,2010-08-04,a7y0buzm:Charlie Brooker (Himself - Host);h663jn38:Rufus Hound (Himself);lg4f4z19:Armando Iannucci (Himself);bgfey1xd:Josie Long (Herself);,https://en.wikipedia.org/wiki/List_of_You_Have_Been_Watching_episodes
